username,teams
cdabin,"[""__IRIS_int"",""__DOPSI_FIL_IUL_int"",""__DOPSI_INF_INF_int"",""__DOPSI_int"",""__IRIS_all"",""__PILOTE_ansible""]"
YannickSIMON,"[""__IRIS_int"",""__DED_GC_P_int"",""__DED_int"",""__IRIS_all""]"
lucasdrai,"[""__IRIS_int"",""__DOPSI_INT_IDT_int"",""__DOPSI_int"",""__IRIS_all"",""__PILOTE_ansible"",""__TRANSFOSI_RANCHER_int"",""__TRANSFOSI_AUTOMATOR_int"",""__FACTORY_int""]"
gchaussy,"[""__IRIS_int"",""__DOPSI_FIL_IUL_int"",""__DOPSI_INF_INF_int"",""__DOPSI_int"",""__IRIS_all"",""__PILOTE_ansible""]"
saudoire,"[""__IRIS_int"",""__DED_GE_FF_int"",""__DED_int"",""__IRIS_all""]"
sbeignon,"[""__IRIS_int"",""__DOPSI_INT_CIQ_int"",""__DOPSI_int"",""__IRIS_all""]"
SindbadBelliliIris,"[""__IRIS_int"",""__DED_BDD_EDH_int"",""__DED_int"",""__IRIS_all""]"
jronot,"[""__IRIS_int"",""__DED_AIL_IL_int"",""__DED_int"",""__IRIS_all"",""__FACTORY_int"",""__FACTORY_CICD_int""]"
DBATELOT,"[""__IRIS_int"",""__DED_PC_ELU_int"",""__DED_int"",""__IRIS_all"",""__DED_PC_ABO_int""]"
mloirat,"[""__IRIS_int"",""__DED_GC_R_int"",""__DED_int"",""__IRIS_all""]"
GaUdicheaU-SU,"[""__IRIS_int"",""__DOPSI_INT_IDM_int"",""__DOPSI_int"",""__IRIS_all""]"
gh-mcorolle,"[""__IRIS_int"",""__DOPSI_INT_IDM_int"",""__DOPSI_int"",""__IRIS_all""]"
SURemiGUERIN,"[""__IRIS_int"",""__DED_BDD_EDH_int"",""__DED_int"",""__IRIS_all"",""__DED_CORECADO_int""]"
bertschy,"[""__IRIS_int"",""__DED_BDD_EDH_int"",""__DED_int"",""__IRIS_all""]"
c-rochcongar,"[""__IRIS_int"",""__DED_SC_P_int"",""__DED_int"",""__IRIS_all""]"
chomboursu,"[""__IRIS_int"",""__DED_SC_P_int"",""__DED_int"",""__IRIS_all""]"
rblavier-SU,"[""__IRIS_int"",""__DOPSI_INT_IDM_int"",""__DOPSI_int"",""__IRIS_all""]"
gildas-clement,"[""__IRIS_int"",""__DOPSI_INT_IDM_int"",""__DOPSI_int"",""__IRIS_all""]"
